,job_title,salary
7467,Sales Coordinator,"1,800,000 - 2,100,000"
7468,Security Officer/CCTV Operator- Камер хянагч,"1,200,000 - 1,500,000"
7469,Шөнийн ээлжийн тогооч,"1,200,000 - 1,500,000"
7470,АВТОГРЕЙДЕРИЙН ОПЕРАТОР/Алтны шороон орд,"2,100,000 - 2,500,000"
7471,Электроник автоматжуулалтын инженер,"1,500,000 - 1,800,000 Тохиролцоно"
7472,Үйл ажиллагаа хариуцсан зохион байгуулагч,"1,200,000 - 1,500,000"
7473,Ресторан хариуцсан менежер,"1,800,000 - 2,100,000"
7474,Хүний нөөцийн мэргэжилтэн,"1,500,000 - 1,800,000 Тохиролцоно"
7475,ЕРӨНХИЙ НЯГТЛАН БОДОГЧ,"2,100,000 - 2,500,000"
7476,Нягтлан бодогч,"1,800,000 - 2,100,000"
7477,Хувийн ЕБС-д математикийн багш авна,"1,200,000 - 1,500,000"
7478,БИЕИЙН ПЛАСТИК МЭС ЗАСЛЫН ЭМЧ,"3,000,000 - 4,000,000"
7479,Маркетингийн албаны дарга,"2,100,000 - 2,500,000"
7480,БОРЛУУЛАЛТЫН МЕНЕЖЕР /Үл хөдлөх/,"1,200,000 - 1,500,000"
7481,СОШИАЛ МЕДИА МЕНЕЖЕР,"1,200,000 - 1,500,000"
7482,Борлуулалтын менежер,"1,800,000 - 2,100,000"
7483,ҮЛ ХӨДЛӨХ ХӨРӨНГӨ ЗУУЧЛАГЧ СУРГАЖ АВНА,"2,500,000 - 3,000,000"
7484,Төслийн менежер,"1,500,000 - 1,800,000"
7485,ЗАХИРЛЫН ТУСЛАХ,"1,000,000 - 1,200,000"
7486,Nokia борлуулалтын менежер.,"1,200,000 - 1,500,000"
7487,САЛБАР ХАРИУЦСАН МЕХАНИК,"2,500,000 - 3,000,000"
7488,Нягтлан бодогч ажилд авна.,"1,200,000 - 1,500,000"
7489,"Техник үйлчилгээ, систем нэвтрүүлэлтийн ажилтан","1,200,000 - 1,500,000"
7490,Засварчин,"1,500,000 - 1,800,000 Тохиролцоно"
7491,Ахлах тогооч,"1,800,000 - 2,100,000"
7492,барилгын инженер,"1,800,000 - 2,100,000"
7493,МАРКЕТИНГИЙН МЕНЕЖЕР,"1,200,000 - 1,500,000 Тохиролцоно"
7494,Захирлын туслах,"1,200,000 - 1,500,000"
7495,Кафе тогооч,"1,800,000 - 2,100,000"
7496,Эрүүл ахуйч,"1,200,000 - 1,500,000"
7497,ХАБЭА-Н АЖИЛТАН /ЭРЭГТЭЙ/,"1,500,000 - 1,800,000"
7498,Портерийн жолооч (Рөүд вэй констракшн ХХК),"1,200,000 - 1,500,000"
7499,Гадаад харилцааны менежер,"1,500,000 - 1,800,000"
7500,САНТЕХНИКИЙН ИНЖЕНЕР,"1,800,000 - 2,100,000 Тохиролцоно"
7501,ГАДААД ХАРИЛЦААНЫ МЕНЕЖЕР,"2,100,000 - 2,500,000"
7502,ТЕХНИКИЙН НЯРАВ  /ТЕХНИК ХАРИУЦСАН АЖИЛТАН/,"1,000,000 - 1,200,000"
7503,Зээлийн ажилтан (Сансар салбар),"1,200,000 - 1,500,000"
7504,Англи хэлний багш,"1,200,000 - 1,500,000 Тохиролцоно"
7505,Ховоны жолооч (Рөүд вэй констракшн ХХК),"1,500,000 - 1,800,000"
7506,ЗУРГИЙН ИНЖЕНЕР / ОЮУ ТОЛГОЙ ТӨСӨЛД (англи хэлтэй),"2,100,000 - 2,500,000"
7507,АРХИВ-БИЧИГ ХЭРГИЙН АЖИЛТАН,"800,000 - 1,000,000"
7508,сантехникч,"1,500,000 - 1,800,000 Тохиролцоно"
7509,Барилгын инженер,"2,100,000 - 2,500,000 Тохиролцоно"
7510,Нягтлан,"1,500,000 - 1,800,000"
7511,Ээлжийн инженер,"1,200,000 - 1,500,000"
7512,Архитектор,"1,000,000 - 1,200,000"
7513,"гадаад харилцаа, төслийн ажилтан авна","800,000 - 1,000,000"
7514,Маркетингийн менежер,"800,000 - 1,000,000"
7515,Жижүүр,"600,000 - 800,000"
7516,зөөгч,"800,000 - 1,000,000"
7517,Хаалгач,"1,000,000 - 1,200,000"
7518,угаагч,"800,000 - 1,000,000"
7519,Үл Хөдлөх Хөрөнгө Зуучлагч сургаж ажилд авна,"2,100,000 - 2,500,000"
7520,Худалдан авалтын мэргэжилтэн,"1,500,000 - 1,800,000"
7521,Бэлтгэгч ажилд авна.,"800,000 - 1,000,000"
7522,халуун хүйтний тогооч,"1,500,000 - 1,800,000"
7523,Гэрлийн найруулагч,"600,000 - 800,000"
7524,ХҮНИЙ НӨӨЦИЙН МЕНЕЖЕР /ТУРШЛАГАТАЙ/,"2,100,000 - 2,500,000 Тохиролцоно"
7525,Нягтлан Бодогч (Accountant),"1,500,000 - 1,800,000"
7526,Ахлах менежер,"2,500,000 - 3,000,000"
7527,Нягтлан бодогч,"1,000,000 - 1,200,000"
7528,CLOUD DEVELOPER,"1,800,000 - 2,100,000 Тохиролцоно"
7529,Тээврийн менежер ажилд авна,"2,100,000 - 2,500,000"
7530,MOBILE DEVELOPER,"2,100,000 - 2,500,000 Тохиролцоно"
7531,Хятад хэлтэй Гадаад харилцааны менежер авна,"1,800,000 - 2,100,000"
7532,ХУДАЛДААНЫ ТӨЛӨӨЛӨГЧ,"1,800,000 - 2,100,000"
7533,Маркетингийн менежер,"1,800,000 - 2,100,000"
7534,Гадаад Харилцааны Менежер,"1,800,000 - 2,100,000"
7535,"Эрүүл мэндийн зөвлөгөө, мэдээллийн ажилтан***","1,200,000 - 1,500,000"
7536,"СПА,Сауны ресепшн","1,000,000 - 1,200,000"
7537,Зөөгч,"800,000 - 1,000,000"
7538,Сэтгүүлч,"800,000 - 1,000,000"
7539,Харилцагчийн үйлчилгээ хариуцсан ажилтан,"1,000,000 - 1,200,000"
7540,Хово жолооч,"1,000,000 - 1,200,000"
7541,Уурхайн эмч,"1,500,000 - 1,800,000"
7542,ҮЛ ХӨДЛӨХ ХӨРӨНГӨ ЗУУЧЛАГЧ СУРГАЖ АВНА,"4,000,000 - 5,000,000"
7543,Нүүр амны их эмч / шүдний эмч/,"2,500,000 - 3,000,000 Тохиролцоно"
7544,ТООЦООНЫ НЯГТЛАН БОДОГЧ,"1,500,000 - 1,800,000"
7545,Ахлах Санхүүгийн шинжээч,"3,000,000 - 4,000,000"
7546,ЭМЧ ТӨЛӨӨЛӨГЧ,"1,200,000 - 1,500,000"
7547,СПА Гоо сайханч болон Бариа засалч,"1,200,000 - 1,500,000 Тохиролцоно"
7548,Зөөгч /ресторан/,"800,000 - 1,000,000"
7549,Зөөгч /ресторан/,"800,000 - 1,000,000"
7550,Хөдөлмөр аюулгүй байдлын инженер,"1,800,000 - 2,100,000 Тохиролцоно"
7551,Цахилгаанчин,"1,800,000 - 2,100,000"
7552,Түгээлтийн жолооч ажилд авна.,"1,000,000 - 1,200,000"
7553,Үйлчилгээний ажилтан,"1,200,000 - 1,500,000 Тохиролцоно"
7554,Байгаль орчны мэргэжилтэн /УБ-д ажиллах/,"1,800,000 - 2,100,000 Тохиролцоно"
7555,Мерчиндайзер ажилд авна.,"1,200,000 - 1,500,000"
7556,ХУДАЛДАГЧ,"1,000,000 - 1,200,000"
7557,Ашиглалт хариуцсан менежер,"1,200,000 - 1,500,000 Тохиролцоно"
7558,ХӨРГӨГЧНИЙ ТЕХНИКЧ (Хувьдаа автомашинтай байх),"1,200,000 - 1,500,000"
7559,"Барилгын Цахилгаанчин, цахилгаанчины туслах","1,500,000 - 1,800,000"
7560,Англи хэлний багш,"1,500,000 - 1,800,000"
7561,Газарзүйн багш,"1,500,000 - 1,800,000"
7562,"Сан, Халаалт Сэлгэлтийн Инженер","2,100,000 - 2,500,000 Тохиролцоно"
7563,Математикийн багш,"1,500,000 - 1,800,000"
7564,Япон хэлний багш,"1,500,000 - 1,800,000"
7565,ТЕЛЕХАНДЛЕР ОПЕРАТОР,"1,800,000 - 2,100,000"
7566,Арматурчин /ОТ/,"1,800,000 - 2,100,000"
7567,ЭРҮҮ НҮҮРНИЙ МЭС ЗАСЛЫН ЭМЧ,"1,800,000 - 2,100,000 Тохиролцоно"
7568,Мужаан ажилд авна.,"400,000 - 600,000"
7569,Цахилгаанчин,"400,000 - 600,000"
7570,Хүний нөөцийн ажилтан ажилд авна.,"1,500,000 - 1,800,000"
7571,Дизайнер ажилд авна.,"2,100,000 - 2,500,000"
7572,Бэлэн бүтээгдэхүүний нярав ажилд авна.,"1,200,000 - 1,500,000"
7573,Бүс хариуцсан менежер,"2,100,000 - 2,500,000"
7574,НЯГТЛАН БОДОГЧ,"1,200,000 - 1,500,000"
7575,Зочид буудлын Ресепшин,"1,000,000 - 1,200,000"
7576,Бүртгэл мэдээллийн ажилтан,"1,000,000 - 1,200,000"
7577,ӨРӨӨНИЙ ҮЙЛЧЛЭГЧ,"1,000,000 - 1,200,000"
7578,Нягтлан бодогч,"2,500,000 - 3,000,000 Тохиролцоно"
7579,Захиралын туслах,"800,000 - 1,000,000"
7580,Бараа материалын нягтлан бодогч,"1,500,000 - 1,800,000"
7581,Борлуулагч /эрэгтэй/,"1,500,000 - 1,800,000"
7582,Нягтлан бодогч ажилд авна.,"1,800,000 - 2,100,000"
7583,АЧИГЧ /БАРАА БЭЛТГЭГЧ/,"1,000,000 - 1,200,000"
7584,"B,C ангилалтай түгээлтийн жолооч","1,200,000 - 1,500,000"
7585,Жолооч /Дархан салбар/,"800,000 - 1,000,000"
7586,"ГАДААД, ДОТООД ТӨЛБӨР ТООЦООНЫ НЯГТЛАН БОДОГЧ","1,800,000 - 2,100,000"
7587,Эм зүйч,"1,200,000 - 1,500,000"
7588,ХАБЭА-н ажилтан,"1,800,000 - 2,100,000"
7589,Хүний нөөцийн менежер,"1,800,000 - 2,100,000"
7590,Аудиторын туслах (Audit Associate),"1,200,000 - 1,500,000"
7591,Төсөвчин,"2,100,000 - 2,500,000"
7592,Барилгын төслийн инженер,"2,500,000 - 3,000,000 Тохиролцоно"
7593,Concierge (LEXUS EMERGE),"320,000 - 400,000"
7594,Нягтлан бодогч,"1,800,000 - 2,100,000"
7595,Бармен Бариста Батендер ажилд авна,"1,000,000 - 1,200,000"
7596,Төлөвлөлтийн инженер- Уурхайд,"2,500,000 - 3,000,000"
7597,Хөгжүүлэгч (FE), Тохиролцоно
7598,Борлуулалт хариуцсан захирал,"2,100,000 - 2,500,000"
7599,Хаалгач,"800,000 - 1,000,000"
7600,Эмэгтэй нярав,"800,000 - 1,000,000"
7601,Ресепшин,"1,000,000 - 1,200,000"
7602,"Хэвлэлийн эх бэлтгэгч, Дизайнер","1,500,000 - 1,800,000"
7603,ХУДАЛДААНЫ ТӨЛӨӨЛӨГЧ /БЗД-т/,"1,500,000 - 1,800,000"
7604,Үйл ажиллагааны шинжээч /Дата аналист/, Тохиролцоно
7605,БАЙГАЛЬ ОРЧИНЫ МЭРГЭЖИЛТЭН,"1,800,000 - 2,100,000"
7606,Дотрын эмч,"1,200,000 - 1,500,000"
7607,Маркетингийн менежер ажилд авна,"1,800,000 - 2,100,000"
7608,Нягтлан бодогч,"1,500,000 - 1,800,000"
7609,нягтлан бодогч,"1,500,000 - 1,800,000 Тохиролцоно"
7610,Худалдааны зөвлөх ажилд авна.,"1,200,000 - 1,500,000"
7611,ТҮРЭЭСИЙН МЕНЕЖЕР,"1,800,000 - 2,100,000"
7612,Сантехникийн инженер,"1,500,000 - 1,800,000 Тохиролцоно"
7613,ХАБЭА-н ИНЖЕНЕР,"1,500,000 - 1,800,000"
7614,Худалдааны зөвлөх,"1,000,000 - 1,200,000"
7615,ЕРӨНХИЙ НЯГТЛАН БОДОГЧ,"2,500,000 - 3,000,000"
7616,Нярав,"800,000 - 1,000,000"
7617,Захирлын туслах,"1,000,000 - 1,200,000"
7618,Логистик тээвэр хариуцсан менежер,"1,800,000 - 2,100,000"
7619,Жижиглэн худалдааны албаны менежер,"2,500,000 - 3,000,000 Тохиролцоно"
7620,Дижитал шийдлийн менежер,"3,000,000 - 4,000,000"
7621,Finance and Accounting Staff,"320,000 - 400,000"
7622,Байгууллагын хөгжлийн менежер,"3,000,000 - 4,000,000"
7623,Төслийн мэргэжилтэн,"1,500,000 - 1,800,000"
7624,Харилцагч үйлчилгээний ажилтан,"1,200,000 - 1,500,000"
7625,"Цахилгаан, автоматжуулалтын инженер","2,100,000 - 2,500,000"
7626,Сошиал админ,"1,200,000 - 1,500,000 Тохиролцоно"
7627,Салбарын эрхлэгч,"1,800,000 - 2,100,000"
7628,"Бизнес хөгжил, стратегийн хэлтсийн дарга","4,000,000 - 5,000,000"
7629,АВТО ЗАМЫН МАТЕРИАЛЫН ИНЖЕНЕР,"2,500,000 - 3,000,000"
7630,CAT 772/773/777-Техникийн механик,"2,100,000 - 2,500,000"
7631,ХАБЭА-н ажилтан,"2,100,000 - 2,500,000"
7632,Цэцгийн дэлгүүрт Худалдааны зөвлөх,"800,000 - 1,000,000"
7633,Олон улсын сургуульд бага ангийн багш,"1,500,000 - 1,800,000"
7634,Харуул хамгаалалтын ахлах,"1,500,000 - 1,800,000"
7635,Олон улсын сургуульд биеийн тамирын багш,"1,500,000 - 1,800,000"
7636,Худалдааны төвд үйлчлэгч,"800,000 - 1,000,000"
7637,Мах бэлтгэгч /Хөдөө ажиллах/,"1,000,000 - 1,200,000"
7638,"Дүрслэх урлаг, технологийн багш","1,500,000 - 1,800,000"
7639,Худалдааны төвийн Зохион байгуулагч,"1,200,000 - 1,500,000"
7640,Нягтлах бодох бүртгэлийн мэргэжилтэн,"1,500,000 - 1,800,000 Тохиролцоно"
7641,Бизнес хөгжлийн менежер,"2,100,000 - 2,500,000"
7642,Нягтлан бодогч,"1,800,000 - 2,100,000"
7643,Дизайнер, Тохиролцоно
7644,Медиа бизнес төлөвлөлтийн мэргэжилтэн, Тохиролцоно
7645,Чанарын хяналтын ажилтан,"800,000 - 1,000,000 Тохиролцоно"
7646,Сэлбэгийн нярав,"1,500,000 - 1,800,000"
7647,ДУГУЙ ЗАСВАРЧИН,"1,500,000 - 1,800,000"
7648,Дизайнер,"1,800,000 - 2,100,000"
7649,Худалдааны төлөөлөгч,"1,500,000 - 1,800,000"
7650,"ЗАХИРГАА, ХҮНИЙ НӨӨЦИЙН МЭРГЭЖИЛТЭН /MGL AQUA LLC/","1,200,000 - 1,500,000"
7651,Жолооч,"1,200,000 - 1,500,000"
7652,"МАРКЕТИНГ, БОРЛУУЛАЛТЫН МЕНЕЖЕР","1,200,000 - 1,500,000"
7653,Автогрейдерийн оператор,"3,000,000 - 4,000,000 Тохиролцоно"
7654,Үйлчилгээний машины жолооч /Дорноговь/,"1,500,000 - 1,800,000"
7655,Дизайнер,"2,100,000 - 2,500,000"
7656,Аж ахуйн туслах ажилчин,"1,200,000 - 1,500,000"
7657,Системийн администратор,"2,100,000 - 2,500,000 Тохиролцоно"
7658,Сантехникийн засварчин ажилд авна,"1,500,000 - 1,800,000"
7659,B C ангилалтай Борлуулалтын жолооч,"1,200,000 - 1,500,000"
7660,ХАГАСб болон бүтэн ЦАГААР АЖИЛЛАХ ЗӨӨГЧ,"800,000 - 1,000,000"
7661,ХУДАЛДААНЫ МЭРГЭЖИЛТЭН,"1,500,000 - 1,800,000"
7662,Дата аналист,"1,200,000 - 1,500,000"
7663,Хөтөлбөрийн зохицуулагч,"1,200,000 - 1,500,000"
7664,Материалын шинжээч инженер /Эрэгтэй/,"1,800,000 - 2,100,000"
7665,Баримт бичгийн хяналтын ажилтан,"1,200,000 - 1,500,000"
7666,Лаборант /Эрэгтэй/,"1,500,000 - 1,800,000"
7667,"Татан авалт, ложистик хариуцсан ажилтан","1,800,000 - 2,100,000"
7668,Сэлбэгийн нярав-эрэгтэй,"1,200,000 - 1,500,000"
7669,Үйлчлэгч /Өмнөговь аймагт/,"1,000,000 - 1,200,000"
7670,Тосолгоочин MSS,"1,000,000 - 1,200,000"
7671,БАГАЖ ХАРИУЦСАН АЖИЛТАН,"1,000,000 - 1,200,000"
7672,БУЛЬДОЗЕРЫН ОПЕРАТОР,"1,800,000 - 2,100,000"
7673,Угсралтын техникч,"1,200,000 - 1,500,000"
7674,Гагнуурчин,"1,200,000 - 1,500,000"
7675,ОТ-д ажиллах M ангилалын жолооч авна,"1,500,000 - 1,800,000"
7676,ЦАХИЛГААНЫ ЗУРАГ ТӨСЛИЙН ИНЖЕНЕР,"1,800,000 - 2,100,000"
7677,"ХАЛААЛТ, АГААР СЭЛГЭЛТИЙН ЗУРГИЙН ИНЖЕНЕР","1,800,000 - 2,100,000"
7678,"УС ХАНГАМЖ, АРИУТГАХ ТАТУУРГЫН ИНЖЕНЕР","1,800,000 - 2,100,000"
7679,Үйлчилгээний ажилтан/ Худалдааны зөвлөх,"800,000 - 1,000,000"
7680,ОРОН НУТГИЙН САЛБАР ХАРИУЦСАН МЕНЕЖЕР,"1,500,000 - 1,800,000"
7681,Үйл ажиллагаа хариуцсан менежер,"1,000,000 - 1,200,000 Тохиролцоно"
7682,Хөрөнгө оруулалтын мэргэжилтэн,"2,500,000 - 3,000,000"
7683,Харилцагчийн мэдээллийн төвийн ахлах мэргэжилтэн,"1,800,000 - 2,100,000"
7684,Аудитор,"3,000,000 - 4,000,000"
7685,Lodge Manager,"2,500,000 - 3,000,000"
7686,Гагнуурчин механик,"2,100,000 - 2,500,000"
7687,Экскаваторын оператор,"2,100,000 - 2,500,000"
7688,ХАРИЛЦАГЧИЙН ЗӨВЛӨХ (лавлах утасны),"1,200,000 - 1,500,000"
7689,АЖ АХУЙ АЖИЛТАН /14/14 ээлжээр ажиллах/,"1,200,000 - 1,500,000 Тохиролцоно"
7690,"Засаглал, хянан нийцүүлэлтийн менежер/ Compliance","2,100,000 - 2,500,000 Тохиролцоно"
7691,Зөөгч,"1,000,000 - 1,200,000"
7692,"Архитектор, ББүтээц, ХАС, ЦБУ, Цах-ны ЗТ инженер","1,800,000 - 2,100,000"
7693,КОРРЕСПОНДЕНТ БАНК ХАРИУЦСАН АХЛАХ МЭРГЭЖИЛТЭН,"2,100,000 - 2,500,000"
7694,Маркетингийн менежер,"1,500,000 - 1,800,000"
7695,ЛЕД дэлгэцийн инженер,"1,500,000 - 1,800,000"
7696,Дижитал системийн шинжээч /ТУС Солюшн ХХК/,"1,200,000 - 1,500,000"
7697,Худалдааны төлөөлөгч,"1,800,000 - 2,100,000"
7698,ЖУУЛЧНЫ БААЗЫН ЗОХИОН БАЙГУУЛАГЧ,"1,500,000 - 1,800,000"
7699,Агуулах хариуцсан ажилтан-/Warehouse officer/,"2,100,000 - 2,500,000"
7700,Цаг бүртгэлийн ажилтан /Timekeeper/,"2,100,000 - 2,500,000"
7701,Механик инженер-*эрэгтэй*,"1,800,000 - 2,100,000"
7702,ГРАФИК ДИЗАЙНЕР,"2,500,000 - 3,000,000"
7703,МЭДЭЭЛЛИЙН СИСТЕМИЙН ШИНЖЭЭЧ,"2,500,000 - 3,000,000"
7704,БАРИЛГЫН ИНЖЕНЕР /Агуулах/,"2,500,000 - 3,000,000"
7705,САНХҮҮГИЙН ШИНЖЭЭЧ,"3,000,000 - 4,000,000"
7706,ГҮЙЦЭТГЭХ ЗАХИРАЛ /МЕНЕЖМЕНТИЙН КОМПАНИ/,"5,000,000 -ааc дээш"
7707,ЛОГИСТИК ҮЙЛЧИЛГЭЭНИЙ БОРЛУУЛАЛТЫН МЭРГЭЖИЛТЭН,"2,500,000 - 3,000,000"
7708,РЕСЕПШН,"1,200,000 - 1,500,000"
7709,Худалдааны зөвлөх,"800,000 - 1,000,000"
7710,Ахлах тогооч,"2,500,000 - 3,000,000"
7711,Тээвэр хариуцсан ажилтан /T&L Officer/,"2,100,000 - 2,500,000"
7712,"САНХҮҮ, ХӨРӨНГӨ ОРУУЛАЛТ ХАРИУЦСАН ЗАХИРАЛ","5,000,000 -ааc дээш"
7713,Олон улсын үл хөдлөх хөрөнгө зуучлалын АГЕНТ,"2,500,000 - 3,000,000"
7714,Уулын сургагч,"2,100,000 - 2,500,000"
7715,Тоног төхөөрөмж хариуцсан ахлах /SIMOPS Supervisor,"2,500,000 - 3,000,000"
7716,Геодез хэмжилтийн ажилтан /Rodman/,"1,200,000 - 1,500,000"
7717,Chief Marketing officer,"2,500,000 - 3,000,000"
7718,Чанарын хяналтын байцаагч /QC Test Inspector/,"2,100,000 - 2,500,000"
7719,"Агент, Реалтор сургаж ажилд авна /25-45 нас/","2,100,000 - 2,500,000"
7720,Чанарын хяналтын инженер /QC Engineer - Piping/,"2,500,000 - 3,000,000"
7721,УУЛЫН МАСТЕР /Дундговь аймаг/,"1,500,000 - 1,800,000"
7722,Кассын ажилтан,"1,000,000 - 1,200,000"
7723,Чанарын инженер /QC Engineer - Mechanical/,"2,500,000 - 3,000,000"
7724,Нярав,"1,000,000 - 1,200,000"
7725,Тогооч,"600,000 - 800,000"
7726,ЦАЛИНГИЙН НЯГТЛАН БОДОГЧ,"2,100,000 - 2,500,000 Тохиролцоно"
7727,Бүтээгдэхүүн хөгжүүлэлтийн мэргэжилтэн,"1,500,000 - 1,800,000"
7728,FULLSTACK ХӨГЖҮҮЛЭГЧ - ГАДААД ТӨСӨЛ,"1,800,000 - 2,100,000 Тохиролцоно"
7729,ХЭМАБ Менежер,"2,100,000 - 2,500,000 Тохиролцоно"
7730,LV Хөнгөн тэрэгний механик,"2,100,000 - 2,500,000"
7731,Тооцооны нягтлан бодогч,"1,200,000 - 1,500,000"
7732,Хуульч,"1,500,000 - 1,800,000 Тохиролцоно"
7733,Ахлах График Дизайнер,"2,500,000 - 3,000,000 Тохиролцоно"
7734,Тооцооны нягтлан бодогч /Рент/,"1,200,000 - 1,500,000"
7735,Маркетингийн менежер,"1,800,000 - 2,100,000"
7736,Судалгааны менежер,"1,500,000 - 1,800,000"
7737,Бетон зуурмагийн үйлдвэрт технологич,"1,800,000 - 2,100,000 Тохиролцоно"
7738,Рестораны менежер,"1,500,000 - 1,800,000"
7739,ГАДААД ХАРИЛЦААНЫ АЖИЛТАН,"2,100,000 - 2,500,000"
7740,Сэлбэгийн нярав,"1,500,000 - 1,800,000"
7741,АВТЫН МЕХАНИКЧ /Гурилын үйлдвэрт/,"1,200,000 - 1,500,000"
7742,Дотрын эмч,"1,500,000 - 1,800,000"
7743,ХАНГАМЖИЙН НЯРАВ  /Гурилын үйлдвэрт/,"1,200,000 - 1,500,000"
7744,Үйлдвэрийн менежер,"2,100,000 - 2,500,000"
7745,МАРКЕТИНГИЙН МЕНЕЖЕР /Гурилын үйлдвэр/,"1,200,000 - 1,500,000"
7746,СУДАЛГААНЫ МЕНЕЖЕР,"1,500,000 - 1,800,000"
7747,ЕРӨНХИЙ ТЕХНОЛОГИЧ /Гурилын үйлдвэрт/,"1,500,000 - 1,800,000"
7748,Хүнсний үйдвэрт туслах ажилтан ажилд авна,"1,000,000 - 1,200,000 Тохиролцоно"
7749,Чанарын инженер /QC Engineer - E/I/,"2,500,000 - 3,000,000"
7750,Үл хөдлөх хөрөнгийн зууч /REAL ESTATE AGENT/,"2,500,000 - 3,000,000"
7751,Чанарын хяналтын Туслах ажилтан /QC Assistant/,"2,100,000 - 2,500,000"
7752,Үл хөдлөх хөрөнгийн зууч /REAL ESTATE AGENT/,"2,500,000 - 3,000,000"
7753,ХАБЭА Инженер /MP/,"1,200,000 - 1,500,000"
7754,Үл хөдлөх хөрөнгийн зууч /REAL ESTATE AGENT/,"2,500,000 - 3,000,000"
7755,Үл хөдлөх хөрөнгийн зууч /REAL ESTATE AGENT/,"2,500,000 - 3,000,000"
7756,Үл хөдлөх хөрөнгийн зууч /REAL ESTATE AGENT/,"2,500,000 - 3,000,000"
7757,Үл хөдлөх хөрөнгийн зууч /REAL ESTATE AGENT/,"2,500,000 - 3,000,000"
7758,Үл хөдлөх хөрөнгийн зууч /REAL ESTATE AGENT/,"2,500,000 - 3,000,000"
7759,Чанарын хяналтын инженер /QAQC Engineer/,"2,500,000 - 3,000,000"
7760,Борлуулалтын менежер,"1,200,000 - 1,500,000"
7761,Борлуулагч /УБ хотод/,"2,100,000 - 2,500,000"
7762,ХҮНИЙ НӨӨЦИЙН МЭРГЭЖИЛТЭН,"1,500,000 - 1,800,000"
7763,Худалдан авалтын ажилтан /Procurement Officer/,"2,100,000 - 2,500,000"
7764,DevOps администратор,"1,800,000 - 2,100,000"
7765,IT инженер,"1,800,000 - 2,100,000"
7766,NIKE БРЭНДИЙН ДЭЛГҮҮРИЙН ХУДАЛДААНЫ ЗӨВЛӨХ,"1,200,000 - 1,500,000"
7767,Цагаан хэрэглэлийн угаалгын ажилтан,"1,000,000 - 1,200,000"
7768,Бармен,"1,200,000 - 1,500,000"
7769,Тогооч /Рэд рок катеринг ХХК/,"1,500,000 - 1,800,000"
7770,Бэлтгэгч тогооч /Рэд рок катеринг ХХК/,"1,000,000 - 1,200,000"
7771,Хүний нөөцийн мэргэжилтэн,"1,200,000 - 1,500,000"
7772,Төлөвлөлт хариуцсан ахлах ажилтан /Planning Super/,"2,500,000 - 3,000,000"
7773,График дизайнер /Номин Реалтор/,"2,100,000 - 2,500,000"
7774,Төсөвчин,"1,800,000 - 2,100,000"
7775,Хүнсний технологич,"1,800,000 - 2,100,000"
7776,Төслийн менежер /Барилга салбар/,"1,800,000 - 2,100,000"
7777,Хэрэглэгчтэй харилцах төвийн мэргэжилтэн,"1,500,000 - 1,800,000"
7778,Веб-д суурилсан программ хөгжүүлэгч (Cash One app),"2,500,000 - 3,000,000"
7779,Харилцагчийн зөвлөх,"800,000 - 1,000,000"
7780,Финтек төсөлд бизнес хөгжүүлэлтийн менежер,"1,500,000 - 1,800,000 Тохиролцоно"
7781,Туслах тогооч,"1,500,000 - 1,800,000"
7782,ХАНГАМЖИЙН МЕНЕЖЕР-ХЯТАД ХЭЛТЭЙ,"1,800,000 - 2,100,000"
7783,Худалдааны зөвлөх,"800,000 - 1,000,000"
7784,Маркетингийн менежер,"1,200,000 - 1,500,000"
7785,Тооцооны нягтлан бодогч,"1,500,000 - 1,800,000 Тохиролцоно"
7786,БАГА АНГИЙН БАГШ- ТӨГСӨХ АНГИЙН ОЮУТАН БАЙЖ БОЛНО,"1,500,000 - 1,800,000"
7787,Агуулахын нярав,"1,500,000 - 1,800,000"
7788,Зөвшөөрөл хариуцсан ажилтан /Permit Coordinator/,"2,500,000 - 3,000,000"
7789,Жолооч,"1,200,000 - 1,500,000 Тохиролцоно"
7790,Процесс сайжруулалтын шинжээч,"2,100,000 - 2,500,000"
7791,Дилер,"1,200,000 - 1,500,000"
7792,Дата аналист,"2,500,000 - 3,000,000"
7793,Судалгааны мэргэжилтэн,"2,100,000 - 2,500,000 Тохиролцоно"
7794,Санхүүгийн шинжээч,"1,800,000 - 2,100,000"
7795,Рестораны менежер,"1,800,000 - 2,100,000 Тохиролцоно"
7796,Угтагч мэдээллийн ажилтан,"800,000 - 1,000,000"
7797,Материалын зохицуулагч  /Materials Co-ordinator/,"2,100,000 - 2,500,000"
7798,ҮЙЛЧЛЭГЧ,"1,000,000 - 1,200,000 Тохиролцоно"
7799,Програмист BE,"2,500,000 - 3,000,000"
7800,Гагнуурчин,"1,800,000 - 2,100,000"
7801,Маркетингийн мэргэжилтэн,"1,800,000 - 2,100,000"
7802,ХАБЭА-н Ахлах ажилтан /HSE Supervisor/,"2,500,000 - 3,000,000"
7803,Гаалийн мэдүүлэгч,"1,500,000 - 1,800,000"
7804,Сошиал медиа менежер,"1,200,000 - 1,500,000"
7805,Хуулийн зөвлөх,"2,100,000 - 2,500,000"
7806,Борлуулалтын менежер,"1,200,000 - 1,500,000"
7807,Борлуулалтын менежер,"800,000 - 1,000,000"
7808,Маркетингийн менежер /Монос эмийн сан/,"1,800,000 - 2,100,000"
