,job_title,salary
148,Тооцооны нягтлан бодогч,"1,200,000 - 1,500,000"
149,"Сошиал маркетингийн ажилтан, худалдааны зөвлөх","1,500,000 - 1,800,000 Тохиролцоно"
150,ҮЙЛЧИЛГЭЭНИЙ МАШИНЫ ЖОЛООЧ /УБ/,"1,200,000 - 1,500,000"
151,Төслийн инженер,"2,500,000 - 3,000,000"
152,Хаалга угсралтын ажилтан,"1,800,000 - 2,100,000"
153,ЗАХИАЛГЫН АЖИЛТАН,"1,500,000 - 1,800,000"
154,Тогооч,"1,500,000 - 1,800,000 Тохиролцоно"
155,Маркшейдер,"1,800,000 - 2,100,000"
156,ОФФИСЫН ҮЙЛЧЛЭГЧ,"800,000 - 1,000,000"
157,Мэдээллийн сангийн администратор,"2,100,000 - 2,500,000 Тохиролцоно"
158,Импортын менежер,"1,500,000 - 1,800,000"
159,Түгээгч,"1,200,000 - 1,500,000"
160,Төслийн борлуулалтын менежер,"2,500,000 - 3,000,000"
161,Техникч,"1,500,000 - 1,800,000"
162,Худалдааны зөвлөх,"1,200,000 - 1,500,000"
163,"МАРКЕТИНГ, БОРЛУУЛАЛТЫН МЕНЕЖЕР","1,500,000 - 1,800,000"
164,ТООЦООНЫ НЯГТЛАН БОДОГЧ,"1,800,000 - 2,100,000"
165,Үл хөдлөх хөрөнгийн борлуултын менежер,"1,800,000 - 2,100,000"
166,БОРЛУУЛАЛТ ҮЙЛЧИЛГЭЭНИЙ АЖИЛТАН, Тохиролцоно
167,Харуул,"600,000 - 800,000"
168,"Захирлын туслах, бичиг хэргийн ажилтан","1,200,000 - 1,500,000"
169,ПРОЦЕСС САЙЖРУУЛАЛТЫН АХЛАХ МЕНЕЖЕР,"3,000,000 - 4,000,000"
170,Тэнгэр Плаза Худалдааны төвд Касс,"1,200,000 - 1,500,000"
171,"""Камер хянагч""","1,000,000 - 1,200,000"
172,Тэнгэр Плаза худалдааны төвд Худалдааны зөвлөх,"1,200,000 - 1,500,000"
173,Худалдааны зөвлөх,"1,000,000 - 1,200,000"
174,Худалдааны зөвлөх,"1,000,000 - 1,200,000"
175,Данс хариуцсан ахлах ажилтан /Дархан салбөр/,"2,100,000 - 2,500,000"
176,Мониторингийн мэргэжилтэн /Сократус Студио ХХК/,"1,500,000 - 1,800,000"
177,Нягтлан бодогч /Шимт боловсрол ХХК/,"1,500,000 - 1,800,000"
178,Маркетингийн менежер /Шимт Боловсрол ХХК/,"1,800,000 - 2,100,000"
179,Шийдэл хөгжүүлэгч /Сократус Студио ХХК/,"1,500,000 - 1,800,000"
180,Нягтлан бодогч /Сократус Студио ХХК/,"1,500,000 - 1,800,000"
181,Хөрөнгө оруулалтын шинжээч-Сократус Студио ХХК,"1,500,000 - 1,800,000"
182,Системийн шинжээч /Сократус Студио ХХК/,"1,200,000 - 1,500,000"
183,ДАТА ИНЖЕНЕР,"2,500,000 - 3,000,000"
184,Гадаад худалдааны менежер,"2,100,000 - 2,500,000"
185,Маркетинг менежир,"1,500,000 - 1,800,000 Тохиролцоно"
186,Мерчиндайзер,"1,500,000 - 1,800,000"
187,Мэдээлэл технологийн инженер,"2,500,000 - 3,000,000"
188,АХЛАХ НЯГТЛАН БОДОГЧ,"1,800,000 - 2,100,000"
189,ЗЭЭЛИЙН МЭРГЭЖИЛТЭН,"1,500,000 - 1,800,000"
190,ТӨСЛИЙН МЭРГЭЖИЛТЭН      /Монгол Контент ХХК/,"1,800,000 - 2,100,000"
191,Байгаль орчны мэргэжилтэн,"2,500,000 - 3,000,000"
192,БИЗНЕС ХӨГЖЛИЙН МЕНЕЖЕР,"3,000,000 - 4,000,000"
193,ХАБЭА-н ажилтан,"1,500,000 - 1,800,000"
194,Хүний нөөцийн менежер,"2,100,000 - 2,500,000 Тохиролцоно"
195,ХАБЭА-Н МЭРГЭЖИЛТЭН,"1,800,000 - 2,100,000"
196,/Хятад хэлтэй/ ТЭЭВРИЙН МЭРГЭЖИЛТЭН ажилд авна.,"1,800,000 - 2,100,000"
197,Тогооч,"1,500,000 - 1,800,000"
198,Дата аналист,"1,800,000 - 2,100,000"
199,СУДАЛГААНЫ МЭРГЭЖИЛТЭН,"1,500,000 - 1,800,000"
200,Үл хөдлөх хөрөнгийн зууч /REAL ESTATE AGENT/,"2,500,000 - 3,000,000"
201,Агуулах хариуцсан нярав,"1,500,000 - 1,800,000"
202,ЦОНХ ХААЛГА УГСРАЛТЫН БРИГАДЫН АХЛАХ /МАСТЕР/,"1,800,000 - 2,100,000"
203,Үл хөдлөх хөрөнгийн зууч /REAL ESTATE AGENT/,"2,500,000 - 3,000,000"
204,Үл хөдлөх хөрөнгийн зууч /REAL ESTATE AGENT/,"2,500,000 - 3,000,000"
205,Борлуулалт хариуцсан менежер,"2,100,000 - 2,500,000"
206,Уулын мастер,"2,500,000 - 3,000,000 Тохиролцоно"
207,Үл хөдлөх хөрөнгийн зууч /REAL ESTATE AGENT/,"2,500,000 - 3,000,000"
208,Барилгын инженер ажилд авна.,"1,800,000 - 2,100,000"
209,Нөхөн сэргээлтийн туслах ажилтан-5/2,"1,000,000 - 1,200,000"
210,АГААРЖУУЛАЛТЫН ХООЛОЙ ҮЙЛДВЭРЛЭХ ХЭСГИЙН МАСТЕР,"1,800,000 - 2,100,000"
211,Мэдээллийн ажилтан /эмэгтэй/,"800,000 - 1,000,000"
212,Байрлаж ажиллах Гэрийн үйлчлэгч ажилд авна,"1,800,000 - 2,100,000"
213,Менежер,"2,500,000 - 3,000,000"
214,Нягтлан бодогч,"2,500,000 - 3,000,000"
215,ЭЭЛЖИЙН ТЕХНОЛОГИЧ,"1,500,000 - 1,800,000"
216,БЕТОН ЗУУРМАГИЙН ҮЙЛДВЭРИЙН ЕРӨНХИЙ ИНЖЕНЕР,"4,000,000 - 5,000,000"
217,Гагнуурчин ажилд авна,"1,800,000 - 2,100,000"
218,Төслийн борлуулалтын менежер сургаж ажилд авна.,"2,100,000 - 2,500,000"
219,Тооцооны нягтлан бодогч,"1,500,000 - 1,800,000"
220,БОЛОВСРУУЛАЛТЫН ОПЕРАТОР,"1,500,000 - 1,800,000"
221,ХҮНСНИЙ ҮЙЛДВЭРТ ЭЭЛЖИЙН МЕХАНИК,"1,500,000 - 1,800,000"
222,Микробиологич - Эрүүл ахуйч,"1,200,000 - 1,500,000"
223,ХАБЭА-ийн инженер,"1,800,000 - 2,100,000"
224,Ачигчийн оператор,"1,800,000 - 2,100,000"
225,WATCH ADVISOR/ ЦАГНЫ ЗӨВЛӨХ,"1,200,000 - 1,500,000 Тохиролцоно"
226,Баяжуулах үйлдвэрийн оператор,"1,800,000 - 2,100,000"
227,Худалдааны зөвлөх,"1,800,000 - 2,100,000"
228,ГРАФИК ДИЗАЙНЕР /ЭМЭГТЭЙ/,"1,800,000 - 2,100,000"
229,НЯРАВ /БЕТОН ЗУУРМАГ ҮЙЛДВЭР-РОСТЕРООР/,"1,200,000 - 1,500,000"
